municipality_code,year,population
02206,2005,68359
02206,2010,66110
02207,2000,42495
02207,2005,42425
02207,2010,41258
02208,2000,49341
02208,2005,64052
02208,2010,61066
02209,2005,40091
02209,2010,37243
02210,2010,33764
02301,2000,14528
02301,2005,13483
02301,2010,12361
02303,2000,4124
02303,2005,3816
02303,2010,3217
02304,2000,3480
02304,2005,3405
02304,2010,3271
02307,2005,8215
02307,2010,7089
02321,2000,13551
02321,2005,12662
02321,2010,11449
02323,2000,8954
02323,2005,10910
02323,2010,9691
02343,2000,2049
02343,2005,1597
02343,2010,1594
02361,2000,10327
02361,2005,16495
02361,2010,16021
02362,2000,12881
02362,2005,11921
02362,2010,10978
02367,2000,8835
02367,2005,8541
02367,2010,8153
02381,2000,16840
02381,2005,16222
02381,2010,15227
02384,2000,15795
02384,2005,15218
02384,2010,14270
02387,2005,14184
02387,2010,12743
02401,2000,16012
02401,2005,15218
02401,2010,14314
02402,2000,10634
02402,2005,18471
02402,2010,16759
02405,2000,10481
02405,2005,10430
02405,2010,10241
02406,2000,5508
02406,2005,5097
02406,2010,4881
02408,2000,10662
02408,2005,20016
02408,2010,19106
02411,2000,11849
02411,2005,11401
02411,2010,11095
02412,2010,24211
02423,2000,6566
02423,2005,6212
02423,2010,6340
02424,2000,7975
02424,2005,8042
02424,2010,7252
02425,2000,2793
02425,2005,2603
02425,2010,2463
02426,2000,3010
02426,2005,2843
02426,2010,2422
02441,2000,13223
02441,2005,12261
02441,2010,11299
02442,2000,17850
02442,2005,20138
02442,2010,18712
02443,2000,7288
02443,2005,6883
02443,2010,6175
02445,2000,6104
02445,2005,5834
02445,2010,19853
02446,2000,15618
02446,2005,15356
02446,2010,14699
02450,2000,3343
02450,2005,3143
02450,2010,2851
03000,2000,1416180
03000,2005,1385041
03000,2010,1330147
03201,2000,288843
03201,2005,287192
03201,2010,298348
03202,2000,54638
03202,2005,60250
03202,2010,59430
03203,2000,36570
03203,2005,43331
03203,2010,40737
03205,2000,72995
03205,2005,72407
03205,2010,101438
03206,2000,91501
03206,2005,94321
03206,2010,93138
03207,2000,36796
03207,2005,36009
03207,2010,36872
03208,2000,27681
03208,2005,31402
03208,2010,29331
03209,2000,63510
03209,2005,125818
03209,2010,118578
03210,2000,25676
03210,2005,24709
03210,2010,23300
03211,2000,46521
03211,2005,42987
03211,2010,39574
03213,2000,27678
03213,2005,26496
03213,2010,29702
03214,2005,31079
03214,2010,28680
03215,2010,124746
03301,2000,19750
03301,2005,19055
03301,2010,18033
03302,2000,8725
03302,2005,8021
03302,2010,7304
03303,2000,17372
03303,2005,16254
03303,2010,14984
03321,2000,33038
03321,2005,33692
03321,2010,33288
03322,2000,25268
03322,2005,27085
03322,2010,27205
03366,2010,6602
03381,2000,16383
03381,2005,16396
03381,2010,16325
03402,2000,9054
03402,2005,8819
03402,2010,8345
03441,2000,7305
03441,2005,6848
03441,2010,6190
03461,2000,17480
03461,2005,16516
03461,2010,15276
03482,2000,21214
03482,2005,20142
03482,2010,18617
03483,2000,12845
03483,2005,11914
03483,2010,10804
03484,2000,4529
03484,2005,4241
03484,2010,3843
03485,2000,3583
03485,2005,3358
03485,2010,3088
03501,2000,11863
03501,2005,10997
03501,2010,10209
03503,2000,5195
03503,2005,5019
03503,2010,4632
03506,2000,7324
03506,2005,6974
03506,2010,6507
03507,2010,17913
03524,2000,16933
03524,2005,15549
03524,2010,14187
04000,2000,2365320
04000,2005,2360218
04000,2010,2348165
04100,2000,1008130
04100,2005,1025098
04100,2010,1045986
04202,2000,119818
04202,2005,167324
04202,2010,160826
04203,2000,61547
04203,2005,59357
04203,2010,56490
04205,2000,61452
04205,2005,58320
04205,2010,73489
04206,2000,40793
04206,2005,39492
04206,2010,37422
04207,2000,67216
04207,2005,68662
04207,2010,73134
04208,2000,34354
