municipality_code,households_total,population_2015,births_annual
04422,2483,8370,30
04423,18401,51591,
04424,1877,5703,25
04440,,30981,
04441,4426,12537,
04442,1828,6310,
04443,1387,4896,
04444,1965,7238,28
04445,7641,23743,86
04461,2043,6299,
04462,2540,7957,
04463,3956,12018,
04481,3602,11169,
04482,2362,6369,
04500,,41553,
04501,5452,16701,50
04502,3171,11142,
04503,6843,18996,
04504,1722,5856,
04505,8565,24852,91
04521,5098,14044,
04522,3964,12266,
04523,3454,10954,
04524,1231,3648,
04525,2256,7375,
04526,1405,4478,
04527,726,2436,
04528,1994,6883,
04529,2198,6751,
04530,371,1071,
04541,7536,21056,
04542,1476,4788,
04543,2033,6557,
04544,4992,15721,
04545,2033,6704,
04546,2584,9295,
04547,1454,5100,
04548,2586,9064,
04561,3416,11097,
04562,11664,31792,
04563,465,1021,
04564,6115,19670,
04565,2137,7460,
04566,2812,7711,
04567,691,2430,
04580,,6334,
04581,3166,6334,25
04582,1014,2448,
04600,,12370,
04601,2966,7954,
04602,1003,3674,
04603,3244,10017,
04604,1946,6276,
04605,1316,4416,
04606,4282,12370,50
05000,385187,1023119,3611
05201,136952,315814,1451
05202,21191,54730,145
05203,31109,92197,279
05204,28044,74175,235
05205,17195,43191,
05206,10492,28375,54
05207,15685,46613,118
05208,14136,35873,
05209,10978,32038,90
05210,28362,79927,319
05211,12287,33083,177
05212,28370,82783,307
05213,11799,33224,80
05214,8635,25324,73
05215,9252,27523,75
05300,,5339,
05303,2043,5339,14
05320,,2381,
05321,6732,18158,
05322,3240,9658,
05323,1993,5850,
05324,1052,2836,
05325,2084,6265,
05326,2022,6380,
05327,830,2381,3
05340,,27746,
05341,1659,4847,
05342,3227,8919,
05343,1312,3528,
05344,2173,6434,
05345,1908,5797,
05346,1126,3359,8
05347,1303,3781,
05348,5740,17078,30
05349,2615,7309,5
05360,,23639,
05361,3351,9463,14
05362,2433,7491,
05363,2144,6080,9
05364,1432,4207,
05365,8422,21385,
05366,1528,4986,8
05367,1828,5547,
05368,839,3110,12
05381,2918,8533,
05382,1836,7017,
05401,3652,10292,
05402,1355,4157,
05403,3628,10875,
05404,1436,4619,
05405,1830,5522,
05406,1335,4794,
05407,1832,6056,
05408,1399,4800,
05409,1070,3478,
05410,2265,7467,
05420,,20279,
05421,1617,5126,
05422,2548,8427,
05423,4328,12489,
05424,2050,6359,
05425,2784,9524,
05426,3517,10397,
05427,2160,6841,
05428,1101,3606,
05429,2215,7045,
05430,1407,4637,
05431,1809,6341,
05432,1999,7054,
05433,1950,6866,
05434,5999,20279,58
05441,2243,7053,
05442,3674,12515,
05443,2680,9130,
05444,1815,6327,
05445,4281,12607,
05446,1077,3426,
05447,1353,4805,
05460,,17929,
05461,2550,8374,
05462,2217,6996,
05463,4658,15319,44
05464,1158,2610,3
05465,597,2325,
06000,398015,1123891,5151
06201,102318,253832,1397
06202,33095,85953,378
06203,45666,129652,611
06204,39402,106244,430
06205,12857,36894,166
06206,13654,41256,259
06207,10537,31569,95
06208,7579,24684,84
06209,9486,27757,104
06210,22589,62194,404
06211,16573,47768,318
06212,4883,16953,46
06213,10760,32285,129
06300,,25732,
06301,4551,14369,66
06302,3515,11363,38
06320,,40179,
06321,5929,18952,59
