municipality_code,financial_capability_index,real_debt_service_ratio_pct,taxable_income_per_capita_yen,homeownership_rate_pct,crime_rate_per_1000,doctors_per_100k,ssds_hospital_count,unemployment_rate_pct,tertiary_industry_pct,dwelling_area_sqm,day_night_pop_ratio,school_count,nursery_children,ssds_data_year,ssds_source_url
11102,,,,55.2,13.65,172.2,3,3.8,79.1,79.09,90.6,15,2048,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11103,,,,57.7,27.86,511.1,5,3.4,80.6,81.17,136.9,17,1569,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11104,,,,63.9,15.96,124.8,4,4.1,77.4,88.0,82.9,19,2001,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11105,,,,55.7,14.76,508.4,3,3.4,80.7,73.07,100.4,13,1403,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11106,,,,52.7,15.99,103.4,3,4.0,77.1,68.25,86.1,12,1375,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11107,,,,59.9,13.4,206.9,4,2.9,82.4,77.8,98.6,18,1863,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11108,,,,56.3,15.02,82.5,4,3.3,79.1,73.96,76.4,22,2727,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11109,,,,67.5,14.08,221.3,3,3.2,78.2,90.43,80.6,20,1744,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11110,,,,71.2,20.29,127.0,6,4.0,70.4,96.09,102.3,24,1128,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11201,0.95,6.2,3567518,67.0,17.35,266.2,24,3.9,72.8,87.15,96.8,59,4180,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11202,0.87,-0.8,3401719,74.0,17.3,165.6,12,4.1,68.5,105.14,97.5,46,3352,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11203,0.95,3.4,3720137,57.5,19.43,156.8,20,4.0,73.4,73.98,82.5,80,7487,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
