municipality_code,year,population
01371,2025,6309
01371,2030,5509
01371,2035,4772
01371,2040,4093
01371,2045,3483
01371,2050,2955
01371,2055,2495
01371,2060,2112
01371,2065,1739
01371,2070,1459
01391,2025,1176
01391,2030,1041
01391,2035,917
01391,2040,805
01391,2045,721
01391,2050,636
01391,2055,561
01391,2060,490
01391,2065,421
01391,2070,368
01392,2025,2523
01392,2030,2269
01392,2035,2049
01392,2040,1861
01392,2045,1682
01392,2050,1513
01392,2055,1364
01392,2060,1233
01392,2065,1103
01392,2070,992
01393,2025,2522
01393,2030,2291
01393,2035,2098
01393,2040,1902
01393,2045,1707
01393,2050,1510
01393,2055,1339
01393,2060,1173
01393,2065,1023
01393,2070,874
01394,2025,4350
01394,2030,3991
01394,2035,3644
01394,2040,3334
01394,2045,3030
01394,2050,2740
01394,2055,2491
01394,2060,2244
01394,2065,2027
01394,2070,1825
01395,2025,5201
01395,2030,5212
01395,2035,5187
01395,2040,5140
01395,2045,5063
01395,2050,4972
01395,2055,4859
01395,2060,4734
01395,2065,4559
01395,2070,4397
01396,2025,2350
01396,2030,2177
01396,2035,2023
01396,2040,1882
01396,2045,1759
01396,2050,1633
01396,2055,1521
01396,2060,1407
01396,2065,1292
01396,2070,1193
01397,2025,1764
01397,2030,1671
01397,2035,1590
01397,2040,1518
01397,2045,1436
01397,2050,1342
01397,2055,1254
01397,2060,1171
01397,2065,1098
01397,2070,1026
01398,2025,1952
01398,2030,1809
01398,2035,1687
01398,2040,1583
01398,2045,1488
01398,2050,1393
01398,2055,1299
01398,2060,1218
01398,2065,1144
01398,2070,1075
01399,2025,2666
01399,2030,2427
01399,2035,2229
01399,2040,2059
01399,2045,1880
01399,2050,1705
01399,2055,1551
01399,2060,1398
01399,2065,1257
01399,2070,1119
01400,2025,14486
01400,2030,13928
01400,2035,13344
01400,2040,12774
01400,2045,12203
01400,2050,11623
01400,2055,11016
01400,2060,10408
01400,2065,9798
01400,2070,9226
01401,2025,5213
01401,2030,4822
01401,2035,4407
01401,2040,4014
01401,2045,3641
01401,2050,3261
01401,2055,2888
01401,2060,2555
01401,2065,2250
01401,2070,1974
01402,2025,10127
01402,2030,9054
01402,2035,7996
01402,2040,7028
01402,2045,6125
01402,2050,5301
01402,2055,4566
01402,2060,3899
01402,2065,3286
01402,2070,2758
01403,2025,1412
01403,2030,1278
01403,2035,1150
01403,2040,1032
01403,2045,914
01403,2050,800
01403,2055,696
01403,2060,607
01403,2065,522
01403,2070,453
01404,2025,766
01404,2030,663
01404,2035,573
01404,2040,488
01404,2045,402
01404,2050,324
01404,2055,267
01404,2060,217
01404,2065,180
01404,2070,146
01405,2025,1617
01405,2030,1396
01405,2035,1195
01405,2040,1014
01405,2045,870
01405,2050,737
01405,2055,615
01405,2060,521
01405,2065,438
01405,2070,370
01406,2025,2361
01406,2030,2077
01406,2035,1809
01406,2040,1568
01406,2045,1344
01406,2050,1146
01406,2055,965
01406,2060,809
01406,2065,675
01406,2070,557
01407,2025,2847
01407,2030,2642
01407,2035,2449
01407,2040,2266
01407,2045,2083
01407,2050,1930
01407,2055,1777
01407,2060,1647
01407,2065,1537
01407,2070,1422
01408,2025,17847
01408,2030,16222
01408,2035,14646
01408,2040,13143
01408,2045,11702
01408,2050,10406
01408,2055,9250
01408,2060,8183
01408,2065,7179
01408,2070,6263
01409,2025,1064
01409,2030,1015
01409,2035,965
01409,2040,898
01409,2045,850
01409,2050,801
01409,2055,752
01409,2060,706
01409,2065,661
01409,2070,610
01423,2025,8129
01423,2030,7396
01423,2035,6669
01423,2040,5975
01423,2045,5266
01423,2050,4570
01423,2055,3971
01423,2060,3391
01423,2065,2882
01423,2070,2433
01424,2025,4567
01424,2030,4086
01424,2035,3624
01424,2040,3193
01424,2045,2775
01424,2050,2382
01424,2055,2029
01424,2060,1717
01424,2065,1457
01424,2070,1231
01428,2025,9422
01428,2030,8627
01428,2035,7841
01428,2040,7085
01428,2045,6351
01428,2050,5647
01428,2055,4998
01428,2060,4398
01428,2065,3832
01428,2070,3344
01429,2025,10279
01429,2030,9295
01429,2035,8329
01429,2040,7462
01429,2045,6625
01429,2050,5872
01429,2055,5188
01429,2060,4581
01429,2065,4004
01429,2070,3476
01430,2025,3353
01430,2030,3171
01430,2035,2998
01430,2040,2844
01430,2045,2693
01430,2050,2553
01430,2055,2413
01430,2060,2274
01430,2065,2110
01430,2070,1954
01431,2025,1492
01431,2030,1313
01431,2035,1142
01431,2040,1001
01431,2045,867
01431,2050,760
01431,2055,665
01431,2060,580
01431,2065,508
01431,2070,445
01432,2025,5966
01432,2030,5453
01432,2035,4965
01432,2040,4507
01432,2045,4088
01432,2050,3661
01432,2055,3303
01432,2060,2997
01432,2065,2692
01432,2070,2402
01433,2025,2265
01433,2030,1945
01433,2035,1644
01433,2040,1374
01433,2045,1153
01433,2050,959
01433,2055,785
01433,2060,654
01433,2065,542
01433,2070,440
01434,2025,2065
01434,2030,1870
01434,2035,1683
01434,2040,1516
01434,2045,1359
01434,2050,1222
01434,2055,1101
01434,2060,988
01434,2065,892
01434,2070,805
01436,2025,2050
01436,2030,1798
01436,2035,1545
01436,2040,1320
01436,2045,1125
01436,2050,964
01436,2055,805
01436,2060,681
01436,2065,559
01436,2070,465
01437,2025,1483
01437,2030,1308
01437,2035,1147
01437,2040,999
01437,2045,868
01437,2050,756
01437,2055,646
01437,2060,558
01437,2065,494
01437,2070,426
01438,2025,2621
01438,2030,2326
01438,2035,2067
01438,2040,1837
01438,2045,1613
01438,2050,1408
01438,2055,1230
01438,2060,1068
01438,2065,924
01438,2070,799
01452,2025,6025
01452,2030,5565
01452,2035,5157
01452,2040,4753
01452,2045,4371
01452,2050,3974
01452,2055,3580
01452,2060,3212
01452,2065,2869
01452,2070,2554
01453,2025,9925
01453,2030,9677
01453,2035,9392
01453,2040,9069
01453,2045,8679
01453,2050,8239
01453,2055,7793
01453,2060,7333
01453,2065,6837
01453,2070,6325
01454,2025,5950
01454,2030,5439
01454,2035,4951
01454,2040,4494
01454,2045,4055
01454,2050,3633
01454,2055,3256
01454,2060,2914
01454,2065,2576
01454,2070,2282
01455,2025,3158
01455,2030,2891
01455,2035,2615
01455,2040,2366
01455,2045,2141
01455,2050,1924
01455,2055,1726
01455,2060,1555
01455,2065,1381
01455,2070,1231
01456,2025,2191
01456,2030,1889
01456,2035,1622
01456,2040,1375
01456,2045,1161
01456,2050,979
01456,2055,816
01456,2060,686
01456,2065,578
01456,2070,484
01457,2025,2916
01457,2030,2505
01457,2035,2137
01457,2040,1803
01457,2045,1526
01457,2050,1287
01457,2055,1081
01457,2060,919
01457,2065,776
01457,2070,647
01458,2025,8406
01458,2030,8243
01458,2035,8021
01458,2040,7776
01458,2045,7501
01458,2050,7256
01458,2055,7021
01458,2060,6787
01458,2065,6486
01458,2070,6165
01459,2025,8816
01459,2030,8083
01459,2035,7392
01459,2040,6771
01459,2045,6186
01459,2050,5593
01459,2055,5059
01459,2060,4556
01459,2065,4066
01459,2070,3603
01460,2025,9741
01460,2030,8956
01460,2035,8213
01460,2040,7458
01460,2045,6761
01460,2050,6095
01460,2055,5473
01460,2060,4890
01460,2065,4329
01460,2070,3815
01461,2025,4238
01461,2030,3869
01461,2035,3524
01461,2040,3215
01461,2045,2913
01461,2050,2627
01461,2055,2348
01461,2060,2096
01461,2065,1866
01461,2070,1666
01462,2025,2210
01462,2030,2055
01462,2035,1908
01462,2040,1767
01462,2045,1638
01462,2050,1511
01462,2055,1370
01462,2060,1240
01462,2065,1128
01462,2070,1019
01463,2025,1337
01463,2030,1163
01463,2035,1037
01463,2040,939
01463,2045,858
01463,2050,791
01463,2055,723
01463,2060,657
01463,2065,588
01463,2070,526
01464,2025,2766
01464,2030,2437
01464,2035,2133
01464,2040,1868
01464,2045,1650
01464,2050,1443
01464,2055,1251
01464,2060,1084
01464,2065,944
01464,2070,812
01465,2025,2581
01465,2030,2315
01465,2035,2057
01465,2040,1807
01465,2045,1588
01465,2050,1381
01465,2055,1216
01465,2060,1071
01465,2065,937
01465,2070,824
01468,2025,2799
01468,2030,2530
01468,2035,2298
01468,2040,2094
01468,2045,1917
01468,2050,1752
01468,2055,1589
01468,2060,1449
01468,2065,1310
01468,2070,1176
01469,2025,3631
01469,2030,3269
01469,2035,2912
01469,2040,2606
01469,2045,2326
01469,2050,2054
01469,2055,1812
01469,2060,1604
01469,2065,1418
01469,2070,1243
01470,2025,587
01470,2030,522
01470,2035,461
01470,2040,401
01470,2045,358
01470,2050,320
01470,2055,297
01470,2060,263
01470,2065,245
01470,2070,288
01471,2025,1285
01471,2030,1143
01471,2035,1025
01471,2040,914
01471,2045,825
01471,2050,730
01471,2055,650
01471,2060,578
01471,2065,510
01471,2070,453
01472,2025,151
01472,2030,132
01472,2035,99
01472,2040,88
01472,2045,77
01472,2050,63
01472,2055,51
01472,2060,35
01472,2065,26
01472,2070,22
01481,2025,3469
01481,2030,3047
01481,2035,2673
01481,2040,2343
01481,2045,2025
01481,2050,1743
01481,2055,1504
01481,2060,1299
01481,2065,1111
01481,2070,949
01482,2025,2620
01482,2030,2319
01482,2035,2041
01482,2040,1787
01482,2045,1549
01482,2050,1340
01482,2055,1158
01482,2060,998
01482,2065,865
01482,2070,742
01483,2025,2538
01483,2030,2235
01483,2035,1973
01483,2040,1749
01483,2045,1538
01483,2050,1341
01483,2055,1174
01483,2060,1019
01483,2065,880
01483,2070,763
01484,2025,5403
01484,2030,4815
01484,2035,4259
01484,2040,3759
01484,2045,3297
01484,2050,2889
01484,2055,2525
01484,2060,2213
01484,2065,1913
01484,2070,1641
01485,2025,915
01485,2030,794
01485,2035,697
01485,2040,614
01485,2045,541
01485,2050,464
01485,2055,408
01485,2060,351
01485,2065,304
01485,2070,260
01486,2025,2192
01486,2030,1946
01486,2035,1730
01486,2040,1521
01486,2045,1344
01486,2050,1169
01486,2055,1023
01486,2060,894
01486,2065,776
01486,2070,683
01487,2025,2605
01487,2030,2363
01487,2035,2145
01487,2040,1932
01487,2045,1732
01487,2050,1540
01487,2055,1363
01487,2060,1223
01487,2065,1091
01487,2070,982
01511,2025,2477
01511,2030,2373
01511,2035,2277
01511,2040,2163
01511,2045,2044
01511,2050,1930
01511,2055,1806
01511,2060,1694
01511,2065,1583
01511,2070,1477
01512,2025,3041
01512,2030,2723
01512,2035,2411
01512,2040,2109
01512,2045,1829
01512,2050,1568
01512,2055,1341
01512,2060,1149
01512,2065,974
01512,2070,820
01513,2025,1521
01513,2030,1364
01513,2035,1212
01513,2040,1082
01513,2045,957
01513,2050,841
01513,2055,734
01513,2060,644
01513,2065,570
01513,2070,495
01514,2025,6291
01514,2030,5707
01514,2035,5147
01514,2040,4604
01514,2045,4098
01514,2050,3601
01514,2055,3182
01514,2060,2804
01514,2065,2430
01514,2070,2106
01516,2025,3630
01516,2030,3363
01516,2035,3110
01516,2040,2861
01516,2045,2597
01516,2050,2329
01516,2055,2073
01516,2060,1852
01516,2065,1660
01516,2070,1474
01517,2025,2240
01517,2030,2041
01517,2035,1860
01517,2040,1674
01517,2045,1518
01517,2050,1361
01517,2055,1233
01517,2060,1103
01517,2065,1004
01517,2070,901
01518,2025,1750
01518,2030,1553
01518,2035,1383
01518,2040,1233
01518,2045,1098
01518,2050,990
01518,2055,888
